participant.id,participant.code,participant.label,assigned_role,group.id,final.offer,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,
2,dn2p4u55,SUB02,P2,1,30,1,70,30,,,,,70,30,7,
3,pxpnz9t4,SUB03,P2,7,40,1,60,40,,,,,60,40,7,
5,bl2webs9,SUB05,P2,12,50,1,50,50,,,,,50,50,7,
6,ii6hl0lg,SUB08,P1,8,50,1,50,50,,,,,50,50,7,
7,v85u2gl4,SUB07,P1,6,35,1,65,35,,,,,65,35,7,
8,n611npof,SUB09,P2,9,50,1,50,50,,,,,50,50,7,
9,0vwq6zco,SUB10,P1,4,35,1,65,35,,,,,65,35,7,
10,502qb8y9,SUB11,P2,11,42,1,58,42,,,,,58,42,7,
11,hoosbwbd,SUB13,P2,13,50,1,50,50,,,,,50,50,7,
12,7y4r0mgk,SUB12,P2,5,65,1,35,65,,,,,35,65,7,
13,72kxcuck,SUB15,P2,8,50,1,50,50,,,,,50,50,7,
14,l9q500py,SUB14,P1,11,42,1,58,42,,,,,58,42,7,
15,2p0g017c,SUB16,P2,10,43,1,57,43,,,,,57,43,7,
16,0klbfy7w,SUB18,P2,4,35,1,65,35,,,,,65,35,7,
17,nrnoj6qg,SUB21,P1,9,50,1,50,50,,,,,50,50,7,
18,xxbh4lrv,SUB17,P2,2,40,1,60,40,,,,,60,40,7,
20,r33ctke4,SUB24,P1,10,43,1,57,43,,,,,57,43,7,
21,j24dnhl0,SUB22,P1,2,40,1,60,40,,,,,60,40,7,
22,cmlex1p5,SUB23,P1,7,40,1,60,40,,,,,60,40,7,
23,p31wvp65,SUB19,P1,13,50,1,50,50,,,,,50,50,7,
24,eao94et7,SUB25,P1,5,65,1,35,65,,,,,35,65,7,
25,bumndept,SUB26,P2,6,35,1,65,35,,,,,65,35,7,
26,p510d7qp,SUB27,P1,1,30,1,70,30,,,,,70,30,7,
1,1mbbiopp,SUB01,P1,5,50,1,50,50,,,,,50,50,8,
2,dn2p4u55,SUB02,P2,13,28,1,72,28,,,,,72,28,8,
3,pxpnz9t4,SUB03,P2,5,50,1,50,50,,,,,50,50,8,
4,f0vz9i76,SUB04,P2,8,35,1,65,35,,,,,65,35,8,
5,bl2webs9,SUB05,P1,9,50,1,50,50,,,,,50,50,8,
6,ii6hl0lg,SUB08,P2,1,50,1,50,50,,,,,50,50,8,
7,v85u2gl4,SUB07,P2,12,50,1,50,50,,,,,50,50,8,
8,n611npof,SUB09,P1,1,50,1,50,50,,,,,50,50,8,
9,0vwq6zco,SUB10,P1,8,35,1,65,35,,,,,65,35,8,
10,502qb8y9,SUB11,P2,4,65,1,35,65,,,,,35,65,8,
11,hoosbwbd,SUB13,P2,10,40,1,60,40,,,,,60,40,8,
14,l9q500py,SUB14,P1,7,42,1,58,42,,,,,58,42,8,
15,2p0g017c,SUB16,P1,13,28,1,72,28,,,,,72,28,8,
16,0klbfy7w,SUB18,P1,6,40,1,60,40,,,,,60,40,8,
17,nrnoj6qg,SUB21,P1,12,50,1,50,50,,,,,50,50,8,
18,xxbh4lrv,SUB17,P2,11,25,1,75,25,,,,,75,25,8,
19,v2i3lbyw,SUB20,P1,11,25,1,75,25,,,,,75,25,8,
20,r33ctke4,SUB24,P2,9,50,1,50,50,,,,,50,50,8,
21,j24dnhl0,SUB22,P1,10,40,1,60,40,,,,,60,40,8,
23,p31wvp65,SUB19,P2,7,42,1,58,42,,,,,58,42,8,
24,eao94et7,SUB25,P1,4,65,1,35,65,,,,,35,65,8,
25,bumndept,SUB26,P2,6,40,1,60,40,,,,,60,40,8,
1,1mbbiopp,SUB01,P1,1,50,1,50,50,,,,,50,50,9,
2,dn2p4u55,SUB02,P1,12,30,1,70,30,,,,,70,30,9,
3,pxpnz9t4,SUB03,P2,8,35,1,65,35,,,,,65,35,9,
4,f0vz9i76,SUB04,P1,3,40,1,60,40,,,,,60,40,9,
5,bl2webs9,SUB05,P1,4,50,1,50,50,,,,,50,50,9,
6,ii6hl0lg,SUB08,P2,7,42,1,58,42,,,,,58,42,9,
7,v85u2gl4,SUB07,P1,8,35,1,65,35,,,,,65,35,9,
8,n611npof,SUB09,P2,1,50,1,50,50,,,,,50,50,9,
9,0vwq6zco,SUB10,P2,3,40,1,60,40,,,,,60,40,9,
10,502qb8y9,SUB11,P1,9,50,1,50,50,,,,,50,50,9,
11,hoosbwbd,SUB13,P1,11,50,1,50,50,,,,,50,50,9,
12,7y4r0mgk,SUB12,P2,9,50,1,50,50,,,,,50,50,9,
14,l9q500py,SUB14,P1,7,42,1,58,42,,,,,58,42,9,
16,0klbfy7w,SUB18,P1,5,40,1,60,40,,,,,60,40,9,
17,nrnoj6qg,SUB21,P2,11,50,1,50,50,,,,,50,50,9,
18,xxbh4lrv,SUB17,P2,12,30,1,70,30,,,,,70,30,9,
19,v2i3lbyw,SUB20,P2,4,50,1,50,50,,,,,50,50,9,
20,r33ctke4,SUB24,P1,10,40,1,60,40,,,,,60,40,9,
21,j24dnhl0,SUB22,P2,10,40,1,60,40,,,,,60,40,9,
23,p31wvp65,SUB19,P1,6,50,1,50,50,,,,,50,50,9,
24,eao94et7,SUB25,P2,6,50,1,50,50,,,,,50,50,9,
25,bumndept,SUB26,P2,5,40,1,60,40,,,,,60,40,9,
1,1mbbiopp,SUB01,P1,7,50,1,50,50,,,,,50,50,10,
2,dn2p4u55,SUB02,P2,3,35,1,65,35,,,,,65,35,10,
3,pxpnz9t4,SUB03,P2,13,25,1,75,25,,,,,75,25,10,
4,f0vz9i76,SUB04,P1,10,40,1,60,40,,,,,60,40,10,
5,bl2webs9,SUB05,P2,7,50,1,50,50,,,,,50,50,10,
6,ii6hl0lg,SUB08,P2,2,50,1,50,50,,,,,50,50,10,
7,v85u2gl4,SUB07,P1,5,35,1,65,35,,,,,65,35,10,
8,n611npof,SUB09,P1,6,50,1,50,50,,,,,50,50,10,
9,0vwq6zco,SUB10,P2,5,35,1,65,35,,,,,65,35,10,
10,502qb8y9,SUB11,P1,11,50,1,50,50,,,,,50,50,10,
11,hoosbwbd,SUB13,P1,2,50,1,50,50,,,,,50,50,10,
