participant.id_in_session,participant.code,participant.label,assigned_role,group.id,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
13,sno2xyi9,SUB14,P2,13,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
14,tmb79jpn,SUB15,P2,14,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
15,1wizmznv,SUB17,P2,15,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
17,uzhuss2s,SUB18,P1,17,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
19,jfk37j88,SUB20,P2,19,30,1,70,30,,,,,70,30,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
20,3101cn8m,SUB22,P2,20,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
22,3q80v4zt,SUB23,P2,22,30,1,70,30,,,,,70,30,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
23,n7uygjoj,SUB24,P1,23,53,1,47,53,,,,,47,53,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 53, ""accepted"": true}]"
24,x0yd06i5,SUB25,P1,24,50,1,50,50,,,,,50,50,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,tfqxsoxe,SUB26,P2,25,40,1,60,40,,,,,60,40,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
1,qgj4ans2,SUB01,P1,1,55,1,45,55,,,,,45,55,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P1,8,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
12,gkbczgor,SUB12,P2,12,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
13,sno2xyi9,SUB14,P1,13,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,tmb79jpn,SUB15,P2,14,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
15,1wizmznv,SUB17,P1,15,38,1,62,38,,,,,62,38,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 38, ""accepted"": true}]"
16,q2py44sj,SUB16,P2,16,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
17,uzhuss2s,SUB18,P2,17,40,1,60,40,,,,,60,40,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
18,z06q3y0q,SUB19,P2,18,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,3101cn8m,SUB22,P1,20,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,irl2zno9,SUB21,P2,21,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
22,3q80v4zt,SUB23,P2,22,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,n7uygjoj,SUB24,P2,23,50,1,50,50,,,,,50,50,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P2,26,35,1,65,35,,,,,65,35,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
1,qgj4ans2,SUB01,P2,1,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
5,b8qh05ti,SUB08,P1,5,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
6,fxxtcili,SUB05,P2,6,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
7,ha6kapux,SUB07,P2,7,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P2,8,30,1,70,30,,,,,70,30,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
13,sno2xyi9,SUB14,P1,13,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,tmb79jpn,SUB15,P2,14,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,q2py44sj,SUB16,P2,16,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
17,uzhuss2s,SUB18,P2,17,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,z06q3y0q,SUB19,P2,18,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
20,3101cn8m,SUB22,P1,20,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,irl2zno9,SUB21,P2,21,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
22,3q80v4zt,SUB23,P1,22,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,n7uygjoj,SUB24,P1,23,52,1,48,52,,,,,48,52,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 52, ""accepted"": true}]"
24,x0yd06i5,SUB25,P2,24,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,tfqxsoxe,SUB26,P1,25,50,1,50,50,,,,,50,50,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P2,26,40,1,60,40,,,,,60,40,7,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
1,qgj4ans2,SUB01,P1,1,55,1,45,55,,,,,45,55,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,30,1,70,30,,,,,70,30,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
5,b8qh05ti,SUB08,P1,5,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
7,ha6kapux,SUB07,P2,7,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P2,8,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P1,9,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
10,lljzay9s,SUB09,P2,10,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P1,11,45,1,55,45,,,,,55,45,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": true}]"
13,sno2xyi9,SUB14,P2,13,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,tmb79jpn,SUB15,P2,14,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
15,1wizmznv,SUB17,P2,15,30,1,70,30,,,,,70,30,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
16,q2py44sj,SUB16,P1,16,60,1,40,60,,,,,40,60,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": true}]"
17,uzhuss2s,SUB18,P1,17,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,z06q3y0q,SUB19,P2,18,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,3101cn8m,SUB22,P1,20,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,irl2zno9,SUB21,P2,21,40,1,60,40,,,,,60,40,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
24,x0yd06i5,SUB25,P2,24,50,1,50,50,,,,,50,50,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
1,qgj4ans2,SUB01,P1,1,55,1,45,55,,,,,45,55,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,30,1,70,30,,,,,70,30,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
4,prnf850t,SUB04,P2,4,30,1,70,30,,,,,70,30,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
6,fxxtcili,SUB05,P2,6,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P1,8,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P2,9,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
10,lljzay9s,SUB09,P1,10,47,1,53,47,,,,,53,47,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 47, ""accepted"": true}]"
11,q6l3ja4i,SUB13,P2,11,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
12,gkbczgor,SUB12,P2,12,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
13,sno2xyi9,SUB14,P2,13,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,tmb79jpn,SUB15,P1,14,45,1,55,45,,,,,55,45,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 45, ""accepted"": true}]"
15,1wizmznv,SUB17,P2,15,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,q2py44sj,SUB16,P1,16,55,1,45,55,,,,,45,55,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
