participant.id_in_session,participant.code,participant.label,assigned_role,group.id_in,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
17,zkx8in1a,SUB16,P2,17,43,4,70,30,1,99,57,43,0,0,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 1, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 43, ""accepted"": false}]"
23,7mv0ktln,SUB23,P2,23,20,4,70,30,30,70,80,20,0,0,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 30, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}]"
24,49ru8nb0,SUB26,P2,24,35,1,65,35,,,,,65,35,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,35,1,65,35,,,,,65,35,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
18,62mpqbrr,SUB19,P2,18,40,2,65,35,40,60,,,24,24,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": true}]"
22,1pbdj537,SUB20,P2,22,42,2,65,35,42,58,,,25.2,23.2,8,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 42, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
14,qdz5djn8,SUB15,P2,14,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
15,h9ymerbf,SUB17,P2,15,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
17,zkx8in1a,SUB16,P2,17,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
19,qjoebw3l,SUB21,P2,19,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
3,imt9yc21,SUB03,P2,3,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
10,ic7texjb,SUB11,P2,10,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
12,ptghbnc9,SUB14,P2,12,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,8jqp9j4g,SUB18,P2,16,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
26,1zh5s3po,SUB25,P2,26,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
1,03lvt6vi,SUB01,P2,1,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P2,2,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
4,u9s293b2,SUB04,P2,4,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
5,nh7aajh2,SUB08,P2,5,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
13,ghobmd5w,SUB12,P2,13,40,1,60,40,,,,,60,40,3,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
