"participant.id","participant.code","participant.label","assigned_role","group.id","final.offer","final.stage","s1.p1_points","s1.p2_points","s2.p1_points","s2.p2_points","s3.p1_points","s3.p2_points","p1_discounted_points","p2_discounted_points","round_number","treatment","AI","Transfer","accept.stage1","accept.stage2","accept.stage3","accept.stage4"
7,"v85u2gl4","SUB07","P1",5,35,1,65,35,NA,NA,NA,NA,65,35,10,"T1",0,0,1,0,0,0
8,"n611npof","SUB09","P1",6,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
9,"0vwq6zco","SUB10","P2",5,35,1,65,35,NA,NA,NA,NA,65,35,10,"T1",0,0,1,0,0,0
10,"502qb8y9","SUB11","P1",11,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
11,"hoosbwbd","SUB13","P1",2,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
12,"7y4r0mgk","SUB12","P1",9,43,1,57,43,NA,NA,NA,NA,57,43,10,"T1",0,0,1,0,0,0
13,"72kxcuck","SUB15","P1",8,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
14,"l9q500py","SUB14","P1",12,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
15,"2p0g017c","SUB16","P2",9,43,1,57,43,NA,NA,NA,NA,57,43,10,"T1",0,0,1,0,0,0
16,"0klbfy7w","SUB18","P2",11,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
17,"nrnoj6qg","SUB21","P2",6,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
18,"xxbh4lrv","SUB17","P1",3,35,1,65,35,NA,NA,NA,NA,65,35,10,"T1",0,0,1,0,0,0
19,"v2i3lbyw","SUB20","P1",13,25,1,75,25,NA,NA,NA,NA,75,25,10,"T1",0,0,1,0,0,0
20,"r33ctke4","SUB24","P2",8,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
21,"j24dnhl0","SUB22","P2",10,40,1,60,40,NA,NA,NA,NA,60,40,10,"T1",0,0,1,0,0,0
22,"cmlex1p5","SUB23","P1",1,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
23,"p31wvp65","SUB19","P2",1,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
24,"eao94et7","SUB25","P2",4,30,1,70,30,NA,NA,NA,NA,70,30,10,"T1",0,0,1,0,0,0
25,"bumndept","SUB26","P2",12,50,1,50,50,NA,NA,NA,NA,50,50,10,"T1",0,0,1,0,0,0
26,"p510d7qp","SUB27","P1",4,30,1,70,30,NA,NA,NA,NA,70,30,10,"T1",0,0,1,0,0,0
5,"bl2webs9","SUB05","P2",1,40,2,60,40,40,60,NA,NA,24,24,2,"T1",0,0,0,1,0,0
21,"j24dnhl0","SUB22","P1",1,40,2,60,40,40,60,NA,NA,24,24,2,"T1",0,0,0,1,0,0
13,"72kxcuck","SUB15","P2",9,40,2,75,25,40,60,NA,NA,24,24,3,"T1",0,0,0,1,0,0
19,"v2i3lbyw","SUB20","P1",9,40,2,75,25,40,60,NA,NA,24,24,3,"T1",0,0,0,1,0,0
7,"v85u2gl4","SUB07","P1",12,40,2,70,30,40,60,NA,NA,24,24,6,"T1",0,0,0,1,0,0
20,"r33ctke4","SUB24","P2",12,40,2,70,30,40,60,NA,NA,24,24,6,"T1",0,0,0,1,0,0
12,"7y4r0mgk","SUB12","P1",2,40,2,60,40,40,60,NA,NA,24,24,8,"T1",0,0,0,1,0,0
13,"72kxcuck","SUB15","P2",2,40,2,60,40,40,60,NA,NA,24,24,8,"T1",0,0,0,1,0,0
9,"0vwq6zco","SUB10","P1",10,60,3,70,30,35,65,40,60,14.4,9.6,4,"T1",0,0,0,0,1,0
13,"72kxcuck","SUB15","P2",10,60,3,70,30,35,65,40,60,14.4,9.6,4,"T1",0,0,0,0,1,0
15,"2p0g017c","SUB16","P2",1,7,3,60,40,0,100,93,7,33.48,1.12,4,"T1",0,0,0,0,1,0
24,"eao94et7","SUB25","P1",1,7,3,60,40,0,100,93,7,33.48,1.12,4,"T1",0,0,0,0,1,0
5,"bl2webs9","SUB05","P2",11,90,3,70,30,30,70,10,90,3.6,14.4,5,"T1",0,0,0,0,1,0
26,"p510d7qp","SUB27","P1",11,90,3,70,30,30,70,10,90,3.6,14.4,5,"T1",0,0,0,0,1,0
19,"v2i3lbyw","SUB20","P1",8,20,4,80,20,35,65,80,20,0,0,1,"T1",0,0,0,0,0,1
22,"cmlex1p5","SUB23","P2",8,20,4,80,20,35,65,80,20,0,0,1,"T1",0,0,0,0,0,1
13,"72kxcuck","SUB15","P2",9,1,4,80,20,38,62,99,1,0,0,5,"T1",0,0,0,0,0,1
19,"v2i3lbyw","SUB20","P1",9,1,4,80,20,38,62,99,1,0,0,5,"T1",0,0,0,0,0,1
4,"f0vz9i76","SUB04","P2",3,10,4,75,25,30,70,90,10,0,0,7,"T1",0,0,0,0,0,1
19,"v2i3lbyw","SUB20","P1",3,10,4,75,25,30,70,90,10,0,0,7,"T1",0,0,0,0,0,1
22,"cmlex1p5","SUB23","P2",3,1,4,79,21,40,60,99,1,0,0,8,"T1",0,0,0,0,0,1
26,"p510d7qp","SUB27","P1",3,1,4,79,21,40,60,99,1,0,0,8,"T1",0,0,0,0,0,1
13,"72kxcuck","SUB15","P2",13,0,4,73,27,40,60,100,0,0,0,9,"T1",0,0,0,0,0,1
15,"2p0g017c","SUB16","P1",13,0,4,73,27,40,60,100,0,0,0,9,"T1",0,0,0,0,0,1
22,"cmlex1p5","SUB23","P2",2,10,4,69,31,40,60,90,10,0,0,9,"T1",0,0,0,0,0,1
26,"p510d7qp","SUB27","P1",2,10,4,69,31,40,60,90,10,0,0,9,"T1",0,0,0,0,0,1
1,"qgj4ans2","SUB01","P2",1,30,1,70,30,NA,NA,NA,NA,70,30,1,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
3,"7kjwc9qf","SUB03","P2",3,50,1,50,50,NA,NA,NA,NA,50,50,1,"T2",1,1,1,0,0,0
4,"prnf850t","SUB04","P1",4,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
5,"b8qh05ti","SUB08","P2",5,50,1,50,50,NA,NA,NA,NA,50,50,1,"T2",1,1,1,0,0,0
6,"fxxtcili","SUB05","P1",6,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P2",7,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
9,"o8bxqfyl","SUB11","P2",9,50,1,50,50,NA,NA,NA,NA,50,50,1,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P1",10,60,1,40,60,NA,NA,NA,NA,40,60,1,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P1",13,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
15,"1wizmznv","SUB17","P2",15,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P2",17,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
19,"jfk37j88","SUB20","P2",19,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P2",20,50,1,50,50,NA,NA,NA,NA,50,50,1,"T2",1,1,1,0,0,0
21,"irl2zno9","SUB21","P2",21,40,1,60,40,NA,NA,NA,NA,60,40,1,"T2",1,1,1,0,0,0
24,"x0yd06i5","SUB25","P2",24,50,1,50,50,NA,NA,NA,NA,50,50,1,"T2",1,1,1,0,0,0
25,"tfqxsoxe","SUB26","P1",25,60,1,40,60,NA,NA,NA,NA,40,60,1,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
3,"7kjwc9qf","SUB03","P1",3,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
4,"prnf850t","SUB04","P1",4,35,1,65,35,NA,NA,NA,NA,65,35,2,"T2",1,1,1,0,0,0
5,"b8qh05ti","SUB08","P2",5,35,1,65,35,NA,NA,NA,NA,65,35,2,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P2",7,40,1,60,40,NA,NA,NA,NA,60,40,2,"T2",1,1,1,0,0,0
8,"8s4s3qgl","SUB10","P1",8,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
9,"o8bxqfyl","SUB11","P1",9,42,1,58,42,NA,NA,NA,NA,58,42,2,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P2",10,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
12,"gkbczgor","SUB12","P2",12,40,1,60,40,NA,NA,NA,NA,60,40,2,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P2",13,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P2",14,40,1,60,40,NA,NA,NA,NA,60,40,2,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P2",16,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P2",18,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
19,"jfk37j88","SUB20","P2",19,40,1,60,40,NA,NA,NA,NA,60,40,2,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P1",20,50,1,50,50,NA,NA,NA,NA,50,50,2,"T2",1,1,1,0,0,0
23,"n7uygjoj","SUB24","P1",23,55,1,45,55,NA,NA,NA,NA,45,55,2,"T2",1,1,1,0,0,0
25,"tfqxsoxe","SUB26","P1",25,40,1,60,40,NA,NA,NA,NA,60,40,2,"T2",1,1,1,0,0,0
26,"0yx3c7qf","SUB27","P2",26,40,1,60,40,NA,NA,NA,NA,60,40,2,"T2",1,1,1,0,0,0
1,"qgj4ans2","SUB01","P1",1,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
4,"prnf850t","SUB04","P2",4,40,1,60,40,NA,NA,NA,NA,60,40,3,"T2",1,1,1,0,0,0
6,"fxxtcili","SUB05","P2",6,40,1,60,40,NA,NA,NA,NA,60,40,3,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P1",7,17,1,83,17,NA,NA,NA,NA,83,17,3,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P2",10,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
12,"gkbczgor","SUB12","P2",12,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P2",13,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
15,"1wizmznv","SUB17","P2",15,40,1,60,40,NA,NA,NA,NA,60,40,3,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P2",16,40,1,60,40,NA,NA,NA,NA,60,40,3,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P1",17,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P1",18,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
19,"jfk37j88","SUB20","P2",19,40,1,60,40,NA,NA,NA,NA,60,40,3,"T2",1,1,1,0,0,0
23,"n7uygjoj","SUB24","P2",23,40,1,60,40,NA,NA,NA,NA,60,40,3,"T2",1,1,1,0,0,0
24,"x0yd06i5","SUB25","P1",24,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
25,"tfqxsoxe","SUB26","P2",25,50,1,50,50,NA,NA,NA,NA,50,50,3,"T2",1,1,1,0,0,0
26,"0yx3c7qf","SUB27","P2",26,25,1,75,25,NA,NA,NA,NA,75,25,3,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,30,1,70,30,NA,NA,NA,NA,70,30,4,"T2",1,1,1,0,0,0
3,"7kjwc9qf","SUB03","P2",3,40,1,60,40,NA,NA,NA,NA,60,40,4,"T2",1,1,1,0,0,0
4,"prnf850t","SUB04","P1",4,32,1,68,32,NA,NA,NA,NA,68,32,4,"T2",1,1,1,0,0,0
6,"fxxtcili","SUB05","P1",6,40,1,60,40,NA,NA,NA,NA,60,40,4,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P2",7,40,1,60,40,NA,NA,NA,NA,60,40,4,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P2",10,40,1,60,40,NA,NA,NA,NA,60,40,4,"T2",1,1,1,0,0,0
11,"q6l3ja4i","SUB13","P1",11,45,1,55,45,NA,NA,NA,NA,55,45,4,"T2",1,1,1,0,0,0
12,"gkbczgor","SUB12","P2",12,50,1,50,50,NA,NA,NA,NA,50,50,4,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P2",14,30,1,70,30,NA,NA,NA,NA,70,30,4,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P2",16,40,1,60,40,NA,NA,NA,NA,60,40,4,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P1",17,50,1,50,50,NA,NA,NA,NA,50,50,4,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P2",18,50,1,50,50,NA,NA,NA,NA,50,50,4,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P2",20,40,1,60,40,NA,NA,NA,NA,60,40,4,"T2",1,1,1,0,0,0
21,"irl2zno9","SUB21","P2",21,40,1,60,40,NA,NA,NA,NA,60,40,4,"T2",1,1,1,0,0,0
23,"n7uygjoj","SUB24","P1",23,54,1,46,54,NA,NA,NA,NA,46,54,4,"T2",1,1,1,0,0,0
1,"qgj4ans2","SUB01","P2",1,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
4,"prnf850t","SUB04","P2",4,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
6,"fxxtcili","SUB05","P1",6,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P1",7,17,1,83,17,NA,NA,NA,NA,83,17,5,"T2",1,1,1,0,0,0
8,"8s4s3qgl","SUB10","P2",8,50,1,50,50,NA,NA,NA,NA,50,50,5,"T2",1,1,1,0,0,0
9,"o8bxqfyl","SUB11","P1",9,48,1,52,48,NA,NA,NA,NA,52,48,5,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P2",10,50,1,50,50,NA,NA,NA,NA,50,50,5,"T2",1,1,1,0,0,0
12,"gkbczgor","SUB12","P1",12,50,1,50,50,NA,NA,NA,NA,50,50,5,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P2",13,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P2",14,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
15,"1wizmznv","SUB17","P2",15,50,1,50,50,NA,NA,NA,NA,50,50,5,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P1",17,50,1,50,50,NA,NA,NA,NA,50,50,5,"T2",1,1,1,0,0,0
19,"jfk37j88","SUB20","P2",19,30,1,70,30,NA,NA,NA,NA,70,30,5,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P2",20,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
22,"3q80v4zt","SUB23","P2",22,30,1,70,30,NA,NA,NA,NA,70,30,5,"T2",1,1,1,0,0,0
23,"n7uygjoj","SUB24","P1",23,53,1,47,53,NA,NA,NA,NA,47,53,5,"T2",1,1,1,0,0,0
24,"x0yd06i5","SUB25","P1",24,50,1,50,50,NA,NA,NA,NA,50,50,5,"T2",1,1,1,0,0,0
25,"tfqxsoxe","SUB26","P2",25,40,1,60,40,NA,NA,NA,NA,60,40,5,"T2",1,1,1,0,0,0
1,"qgj4ans2","SUB01","P1",1,55,1,45,55,NA,NA,NA,NA,45,55,6,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,40,1,60,40,NA,NA,NA,NA,60,40,6,"T2",1,1,1,0,0,0
8,"8s4s3qgl","SUB10","P1",8,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
12,"gkbczgor","SUB12","P2",12,40,1,60,40,NA,NA,NA,NA,60,40,6,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P1",13,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P2",14,40,1,60,40,NA,NA,NA,NA,60,40,6,"T2",1,1,1,0,0,0
15,"1wizmznv","SUB17","P1",15,38,1,62,38,NA,NA,NA,NA,62,38,6,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P2",16,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P2",17,40,1,60,40,NA,NA,NA,NA,60,40,6,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P2",18,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P1",20,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
21,"irl2zno9","SUB21","P2",21,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
22,"3q80v4zt","SUB23","P2",22,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
23,"n7uygjoj","SUB24","P2",23,50,1,50,50,NA,NA,NA,NA,50,50,6,"T2",1,1,1,0,0,0
26,"0yx3c7qf","SUB27","P2",26,35,1,65,35,NA,NA,NA,NA,65,35,6,"T2",1,1,1,0,0,0
1,"qgj4ans2","SUB01","P2",1,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,40,1,60,40,NA,NA,NA,NA,60,40,7,"T2",1,1,1,0,0,0
5,"b8qh05ti","SUB08","P1",5,40,1,60,40,NA,NA,NA,NA,60,40,7,"T2",1,1,1,0,0,0
6,"fxxtcili","SUB05","P2",6,40,1,60,40,NA,NA,NA,NA,60,40,7,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P2",7,40,1,60,40,NA,NA,NA,NA,60,40,7,"T2",1,1,1,0,0,0
8,"8s4s3qgl","SUB10","P2",8,30,1,70,30,NA,NA,NA,NA,70,30,7,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P1",13,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P2",14,40,1,60,40,NA,NA,NA,NA,60,40,7,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P2",16,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P2",17,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P2",18,40,1,60,40,NA,NA,NA,NA,60,40,7,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P1",20,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
21,"irl2zno9","SUB21","P2",21,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
22,"3q80v4zt","SUB23","P1",22,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
23,"n7uygjoj","SUB24","P1",23,52,1,48,52,NA,NA,NA,NA,48,52,7,"T2",1,1,1,0,0,0
24,"x0yd06i5","SUB25","P2",24,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
25,"tfqxsoxe","SUB26","P1",25,50,1,50,50,NA,NA,NA,NA,50,50,7,"T2",1,1,1,0,0,0
26,"0yx3c7qf","SUB27","P2",26,40,1,60,40,NA,NA,NA,NA,60,40,7,"T2",1,1,1,0,0,0
1,"qgj4ans2","SUB01","P1",1,55,1,45,55,NA,NA,NA,NA,45,55,8,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,30,1,70,30,NA,NA,NA,NA,70,30,8,"T2",1,1,1,0,0,0
5,"b8qh05ti","SUB08","P1",5,40,1,60,40,NA,NA,NA,NA,60,40,8,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P2",7,40,1,60,40,NA,NA,NA,NA,60,40,8,"T2",1,1,1,0,0,0
8,"8s4s3qgl","SUB10","P2",8,40,1,60,40,NA,NA,NA,NA,60,40,8,"T2",1,1,1,0,0,0
9,"o8bxqfyl","SUB11","P1",9,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P2",10,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
11,"q6l3ja4i","SUB13","P1",11,45,1,55,45,NA,NA,NA,NA,55,45,8,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P2",13,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P2",14,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
15,"1wizmznv","SUB17","P2",15,30,1,70,30,NA,NA,NA,NA,70,30,8,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P1",16,60,1,40,60,NA,NA,NA,NA,40,60,8,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P1",17,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P2",18,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P1",20,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
21,"irl2zno9","SUB21","P2",21,40,1,60,40,NA,NA,NA,NA,60,40,8,"T2",1,1,1,0,0,0
24,"x0yd06i5","SUB25","P2",24,50,1,50,50,NA,NA,NA,NA,50,50,8,"T2",1,1,1,0,0,0
1,"qgj4ans2","SUB01","P1",1,55,1,45,55,NA,NA,NA,NA,45,55,9,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,30,1,70,30,NA,NA,NA,NA,70,30,9,"T2",1,1,1,0,0,0
4,"prnf850t","SUB04","P2",4,30,1,70,30,NA,NA,NA,NA,70,30,9,"T2",1,1,1,0,0,0
6,"fxxtcili","SUB05","P2",6,40,1,60,40,NA,NA,NA,NA,60,40,9,"T2",1,1,1,0,0,0
8,"8s4s3qgl","SUB10","P1",8,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
9,"o8bxqfyl","SUB11","P2",9,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P1",10,47,1,53,47,NA,NA,NA,NA,53,47,9,"T2",1,1,1,0,0,0
11,"q6l3ja4i","SUB13","P2",11,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
12,"gkbczgor","SUB12","P2",12,40,1,60,40,NA,NA,NA,NA,60,40,9,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P2",13,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P1",14,45,1,55,45,NA,NA,NA,NA,55,45,9,"T2",1,1,1,0,0,0
15,"1wizmznv","SUB17","P2",15,40,1,60,40,NA,NA,NA,NA,60,40,9,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P1",16,55,1,45,55,NA,NA,NA,NA,45,55,9,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P2",17,40,1,60,40,NA,NA,NA,NA,60,40,9,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P2",18,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P1",20,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
21,"irl2zno9","SUB21","P2",21,40,1,60,40,NA,NA,NA,NA,60,40,9,"T2",1,1,1,0,0,0
22,"3q80v4zt","SUB23","P1",22,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
23,"n7uygjoj","SUB24","P1",23,52,1,48,52,NA,NA,NA,NA,48,52,9,"T2",1,1,1,0,0,0
24,"x0yd06i5","SUB25","P2",24,40,1,60,40,NA,NA,NA,NA,60,40,9,"T2",1,1,1,0,0,0
25,"tfqxsoxe","SUB26","P1",25,50,1,50,50,NA,NA,NA,NA,50,50,9,"T2",1,1,1,0,0,0
26,"0yx3c7qf","SUB27","P1",26,65,1,35,65,NA,NA,NA,NA,35,65,9,"T2",1,1,1,0,0,0
1,"qgj4ans2","SUB01","P1",1,55,1,45,55,NA,NA,NA,NA,45,55,10,"T2",1,1,1,0,0,0
2,"y6vt5nki","SUB02","P2",2,35,1,65,35,NA,NA,NA,NA,65,35,10,"T2",1,1,1,0,0,0
3,"7kjwc9qf","SUB03","P2",3,40,1,60,40,NA,NA,NA,NA,60,40,10,"T2",1,1,1,0,0,0
4,"prnf850t","SUB04","P1",4,35,1,65,35,NA,NA,NA,NA,65,35,10,"T2",1,1,1,0,0,0
7,"ha6kapux","SUB07","P2",7,50,1,50,50,NA,NA,NA,NA,50,50,10,"T2",1,1,1,0,0,0
8,"8s4s3qgl","SUB10","P2",8,50,1,50,50,NA,NA,NA,NA,50,50,10,"T2",1,1,1,0,0,0
9,"o8bxqfyl","SUB11","P2",9,50,1,50,50,NA,NA,NA,NA,50,50,10,"T2",1,1,1,0,0,0
10,"lljzay9s","SUB09","P2",10,40,1,60,40,NA,NA,NA,NA,60,40,10,"T2",1,1,1,0,0,0
12,"gkbczgor","SUB12","P2",12,40,1,60,40,NA,NA,NA,NA,60,40,10,"T2",1,1,1,0,0,0
13,"sno2xyi9","SUB14","P1",13,49,1,51,49,NA,NA,NA,NA,51,49,10,"T2",1,1,1,0,0,0
14,"tmb79jpn","SUB15","P2",14,50,1,50,50,NA,NA,NA,NA,50,50,10,"T2",1,1,1,0,0,0
16,"q2py44sj","SUB16","P1",16,55,1,45,55,NA,NA,NA,NA,45,55,10,"T2",1,1,1,0,0,0
17,"uzhuss2s","SUB18","P1",17,50,1,50,50,NA,NA,NA,NA,50,50,10,"T2",1,1,1,0,0,0
18,"z06q3y0q","SUB19","P2",18,30,1,70,30,NA,NA,NA,NA,70,30,10,"T2",1,1,1,0,0,0
20,"3101cn8m","SUB22","P1",20,50,1,50,50,NA,NA,NA,NA,50,50,10,"T2",1,1,1,0,0,0
22,"3q80v4zt","SUB23","P2",22,50,1,50,50,NA,NA,NA,NA,50,50,10,"T2",1,1,1,0,0,0
24,"x0yd06i5","SUB25","P2",24,30,1,70,30,NA,NA,NA,NA,70,30,10,"T2",1,1,1,0,0,0
